trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,finetune_layers,val_accuracy
0,6.34195234240412e-05,0.422320066928329,64,32,0.00022073015664948194,,0.7686567164179104
1,5.3776669533761774e-05,0.10421545768710164,64,16,1.0447407647605507e-06,,0.8059701492537313
2,0.0008263218413089693,0.1533576072277052,256,16,1.1603139187586089e-06,,0.8805970149253731
3,2.277451607043451e-05,0.17439635926584868,256,64,1.7939192426140935e-05,,0.5970149253731343
4,0.00019088526987155597,0.34414054708606134,64,32,0.0001599859416221196,,0.8656716417910447
5,3.293909607783421e-05,0.4492083607472568,128,32,1.0418663348564049e-05,,0.31343283582089554
6,0.0001557940720185389,0.14597024881675558,128,64,0.00037611506100660623,,0.8507462686567164
7,6.714317179008189e-05,0.38509879348698106,64,16,0.0003003243859990587,,0.41044776119402987
8,0.0003203615064547161,0.10890301003940209,256,16,9.388407660425835e-06,,0.8805970149253731
9,0.0006896217447082966,0.3331150873205144,128,32,1.512259972403399e-06,,0.8582089552238806
10,0.0009679574848147823,0.23658499655399828,256,16,3.626765187442909e-06,,0.8656716417910447
11,0.0004265769243471483,0.246994450511994,256,16,5.543821733346134e-06,,0.8656716417910447
12,0.0002930578642950207,0.10216792679627672,256,16,4.949221782677413e-05,,0.8656716417910447
13,0.0004717123571558465,0.19917481453145439,256,16,4.29239977121805e-05,,0.8507462686567164
14,0.00022150521524767772,0.27023614833213916,256,16,2.6797788445802456e-06,,0.7164179104477612
15,0.0005037104645828652,0.1671332432980661,256,16,6.830352519300523e-06,,0.8283582089552238
16,1.2263241708505554e-05,0.21134588364514495,256,64,1.6390565900802388e-05,,0.23134328358208955
17,0.00013042880698195644,0.4939619445346507,256,16,7.116929583569144e-05,,0.6716417910447762
18,0.000855461953867559,0.13710764696947475,256,16,0.0009334964127240308,,0.8582089552238806
19,0.0003041651803780551,0.2930230834895074,128,64,2.2060884885054225e-06,,0.5522388059701493
20,0.00010733297005849236,0.1329103155311056,256,16,1.7568457753006864e-05,,0.5895522388059702
21,0.0001912314288626957,0.343297162551395,64,32,0.0001251131895831203,,0.5522388059701493
22,0.0003399350383439151,0.3443229264646958,64,32,0.00012218669229296743,,0.6492537313432836
23,0.0006003956322707107,0.3101907358720646,64,32,2.5336100607429464e-05,,0.7835820895522388
24,0.00022247622029946507,0.39162431339186043,64,32,0.0007581072549194818,,0.5597014925373134
25,0.0003618493879167916,0.19106326467059248,64,32,5.054921452829362e-06,,0.7238805970149254
26,9.477161779000588e-05,0.37495580099919146,256,16,9.458398599682505e-05,,0.5074626865671642
27,0.0006673271579012706,0.24160416550574879,256,16,1.1714580650072515e-05,,0.8507462686567164
28,0.00025669715902135176,0.28184566518790266,128,64,1.049547272203867e-06,,0.4626865671641791
29,0.00016052950373743728,0.43007372351282835,64,32,0.00018819705605256558,,0.39552238805970147
30,8.878843677428043e-05,0.12418620224452215,64,32,3.0390308853000895e-05,,0.43283582089552236
31,0.0007989680141192776,0.22420260793540686,256,16,3.1580381157428796e-06,,0.8582089552238806
32,0.0008741943096166686,0.16541267995298667,256,16,1.7368616652199887e-06,,0.7761194029850746
33,0.0009953126838736898,0.10686330318309814,256,16,3.6596868748963382e-06,,0.8656716417910447
34,0.0005738084731367119,0.26215844061595667,256,16,9.278123347272114e-06,,0.8656716417910447
35,0.0004136011058425433,0.1542308253554574,256,16,1.4348795614088496e-06,,0.7985074626865671
36,5.3754317122839335e-05,0.1787274666130255,64,64,4.700592340886948e-06,,0.29850746268656714
37,0.0009986041866989865,0.22390573315153078,128,16,8.3334151729127e-06,,0.8656716417910447
38,0.0006971158711581956,0.3173687509266176,256,32,1.0846632720856123e-06,,0.7910447761194029
39,3.7748419368090505e-05,0.11570532908629116,256,16,2.4974560196817485e-06,,0.40298507462686567
40,0.00016274911166499684,0.3680270168697139,128,16,0.0005478251388157179,,0.5746268656716418
41,0.0004692790106716198,0.2506085270859229,256,16,5.063328557855069e-06,,0.8432835820895522
42,0.0003974604048024702,0.238006519899082,256,16,1.231206632990517e-05,,0.7910447761194029
43,0.00027020399069439544,0.19630749502313571,256,16,4.050634062394009e-06,,0.835820895522388
44,0.0005274466659462688,0.14749980657459927,256,16,6.431908680157438e-06,,0.8656716417910447
45,0.0007159402173533802,0.27745049440855796,256,16,1.84994404214015e-06,,0.835820895522388
46,0.0004173230819018062,0.4046617186726507,256,64,4.927949303869112e-05,,0.6492537313432836
47,0.00020942693826133717,0.212427214890464,256,16,2.258727857286893e-05,,0.6791044776119403
48,0.00013006462290305674,0.3001659509081033,64,16,6.963788225057142e-06,,0.5671641791044776
49,0.0003298665692621482,0.17695402648739214,256,32,2.9443922282121368e-06,,0.7238805970149254
50,1.173634586615422e-05,0.322864105567348,128,16,0.00036780260064376804,,0.3880597014925373
51,0.00027052927716726146,0.10143204520580254,256,16,4.1074635043860806e-05,,0.746268656716418
52,0.0004953593620101411,0.12945335567553326,256,16,0.0001782086274343405,,0.8880597014925373
53,0.0004879322564221849,0.1296630400696022,256,16,0.00022996166957743139,,0.8805970149253731
54,0.0005881780064402403,0.1283979523492108,256,16,0.00022642221169582186,,0.7985074626865671
55,0.0008065028098000657,0.14424434755322899,256,16,0.00021235876573994652,,0.8880597014925373
56,0.00046590054517974265,0.14319984157219928,256,16,0.00022131815043277932,,0.8208955223880597
57,0.0006688033316803678,0.1626110948621205,64,32,0.00013596716119111343,,0.7686567164179104
58,0.0007880041422032599,0.1178709865496618,256,64,0.0002949818211144806,,0.7388059701492538
59,1.7901773404474958e-05,0.13678268910037295,256,16,7.029577273137668e-05,,0.40298507462686567
60,0.00034790015787584857,0.15146879647137604,64,16,0.00048419887915545723,,0.746268656716418
61,0.0008602590071526673,0.35448762894477415,256,16,0.00015825759312230203,,0.8432835820895522
62,0.0005407925718650587,0.11293623422002168,256,16,8.087472172069907e-05,,0.9029850746268657
63,0.0005326053846774467,0.11313391316576321,256,16,9.351688568813212e-05,,0.8805970149253731
64,0.0005603240749436375,0.11486462430207726,256,16,8.81299420104019e-05,,0.7835820895522388
65,0.0005140921435867475,0.10050693177306207,256,16,0.000279649440849849,,0.8805970149253731
66,0.0006252656387925221,0.12592498876025282,256,16,0.00011265449184944524,,0.8656716417910447
67,0.0007618858980017988,0.1363460908256917,256,16,6.471534421720253e-05,,0.8656716417910447
68,0.0004922102856265714,0.18259113756048015,256,16,8.852608324784568e-05,,0.8283582089552238
69,0.00038423202082561513,0.15692010263908363,256,16,0.00017505645146949586,,0.8059701492537313
70,0.0008842205470560617,0.11156434145209101,256,16,0.00037528319307074073,,0.8283582089552238
71,0.0005197477104993832,0.10488489294148184,256,16,0.00027432888461327787,,0.7835820895522388
72,0.00044245030121911117,0.12360930227108316,256,16,0.00025494570152258305,,0.8208955223880597
73,0.0006344204925273326,0.14203314502234826,256,16,0.00014697626171040118,,0.8656716417910447
74,0.0005343677632396191,0.16749150737014296,256,16,0.00010628576263233997,,0.8059701492537313
75,0.0003116610705934094,0.10401847443309162,256,16,0.0004574446534835444,,0.7761194029850746
76,0.0007503798237951798,0.13059177900966568,256,16,0.00018170741425045076,,0.8208955223880597
77,0.00038344373316198026,0.12169492108461596,128,16,0.00020366582594172347,,0.8208955223880597
78,0.000618274151987489,0.1516267112159336,256,64,0.0006081295072821321,,0.7313432835820896
79,0.0009049255125154645,0.11422267308642663,256,16,0.00034255575354692877,,0.8507462686567164
80,0.00023573010323670255,0.18552257423575466,256,16,0.00024333710269243777,,0.746268656716418
81,0.000450855033147382,0.10002693164580191,64,32,0.00014825352892081184,,0.7089552238805971
