trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,unfreeze_from_layer,val_accuracy
76,0.00028896945103872604,0.4500253310553636,256,32,0.00023136530527591482,2,0.7164179104477612
77,6.90893970748567e-05,0.25457995526374644,256,16,0.00017949625973424598,2,0.6417910447761194
78,0.0001148145340703706,0.1407738672831285,128,64,0.000747290545895682,4,0.6194029850746269
79,0.0001697855806569399,0.3414637554921508,256,16,0.00039622879818390844,2,0.6940298507462687
80,0.000684700045820817,0.1979262500836865,64,16,4.338467749842914e-05,2,0.7313432835820896
81,0.0004180900041282402,0.41318022383051495,128,16,1.3229182844419612e-06,2,0.6940298507462687
82,0.0005565193095628688,0.388814215335771,128,16,2.795870524751532e-06,2,0.7388059701492538
83,0.00026441886242942284,0.2343267959055637,128,16,1.1622819560324331e-05,2,0.7611940298507462
84,0.0002691734910573573,0.23389186281012844,128,16,9.2919503248904e-06,2,0.746268656716418
85,0.00020568489648700622,0.2137557034526616,128,16,0.0001415846435623725,2,0.753731343283582
86,0.0003311328205816209,0.265908574633837,256,64,0.00021009325659297518,3,0.6044776119402985
87,0.0003714577875635381,0.28115685050569234,128,16,0.0002756095698217658,2,0.7238805970149254
88,0.0002456719937462607,0.24355727026616575,256,16,5.91826141748877e-06,4,0.7313432835820896
89,0.00014984626093462498,0.2293926547204728,128,32,1.2266571769018344e-05,2,0.6492537313432836
90,0.00011944128565737462,0.2142849487564619,256,64,2.1810855418152775e-05,2,0.6567164179104478
91,0.00048635982425619505,0.4223409166710465,128,16,3.052793246702503e-06,2,0.6567164179104478
92,0.00029652757413378244,0.4498026691000525,128,16,1.940289477813404e-06,2,0.6492537313432836
93,4.690024274394807e-05,0.3951227768784842,128,16,1.5131053417989719e-05,2,0.5895522388059702
94,0.00018918814958660422,0.3776158818897134,128,16,0.00011036220849788939,2,0.7014925373134329
95,0.000432655380286729,0.3651372882837822,128,16,5.2448391244701696e-06,2,0.7014925373134329
96,0.00022212905154981783,0.25443350463703984,256,16,6.838635682325674e-05,2,0.7761194029850746
97,0.00022317688063244075,0.25883547660472794,256,16,6.230904141913906e-05,2,0.7014925373134329
98,0.0002675043043637936,0.18930284531873723,256,16,2.7172859807331947e-05,4,0.7910447761194029
99,0.00016231610684505564,0.1880257545448291,256,64,7.467343023751236e-05,4,0.664179104477612
